lot_id,wafer_id,tool_id,slot,point_id,radius_mm,angle_deg,cd_nm,defect_count,measured_at
LOT-007,LOT-007-W04,PHOTO_A,12,13,85.0,0.0,0.045318,1,2026-07-22 18:00:00
LOT-005,LOT-005-W04,PHOTO_B,12,26,120.0,30.0,44.508,2,2026-07-22 02:00:00
LOT-006,LOT-006-W05,PHOTO_C,15,42,142.0,150.0,41.449,9,2026-07-22 11:00:00
LOT-007,LOT-007-W04,PHOTO_A,12,1,45.0,0.0,44.244,0,2026-07-22 18:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,31,120.0,180.0,40.949,12,2026-07-24 09:00:00
LOT-004,LOT-004-W05,PHOTO_A,15,40,142.0,90.0,44.43,2,2026-07-21 19:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,4,45.0,90.0,45.608,1,2026-07-21 02:00:00
LOT-011,LOT-011-W03,PHOTO_B,9,3,45.0,60.0,45.524,2,2026-07-24 01:00:00
LOT-009,LOT-009-W05,PHOTO_C,15,20,85.0,210.0,43.521,1,2026-07-23 11:00:00
LOT-004,LOT-004-W02,PHOTO_A,6,25,120.0,0.0,44.421,0,2026-07-21 16:00:00
LOT-004,LOT-004-W05,PHOTO_A,15,27,120.0,60.0,,1,2026-07-21 19:00:00
LOT-007,LOT-007-W05,PHOTO_A,15,33,120.0,240.0,45.347,2,2026-07-22 19:00:00
LOT-009,LOT-009-W01,PHOTO_C,3,46,142.0,270.0,39.952,7,2026-07-23 07:00:00
LOT-008,LOT-008-W02,PHOTO_B,6,33,120.0,240.0,45.106,3,2026-07-23 00:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,34,120.0,270.0,45.263,3,2026-07-22 03:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,42,142.0,150.0,40.977,11,2026-07-23 10:00:00
LOT-003,LOT-003-W04,PHOTO_C,12,17,85.0,120.0,45.443,0,2026-07-21 10:00:00
LOT-010,LOT-010-W04,PHOTO_A,12,42,142.0,150.0,45.822,2,2026-07-23 18:00:00
LOT-011,LOT-011-W05,PHOTO_B,15,29,120.0,120.0,45.968,0,2026-07-24 03:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,15,85.0,60.0,44.527,2,2026-07-21 08:00:00
LOT-010,LOT-010-W04,PHOTO_A,12,43,142.0,180.0,45.051,1,2026-07-23 18:00:00
LOT-008,LOT-008-W05,PHOTO_B,15,15,85.0,60.0,46.187,1,2026-07-23 03:00:00
LOT-009,LOT-009-W03,PHOTO_C,9,10,45.0,270.0,44.335,2,2026-07-23 09:00:00
LOT-009,LOT-009-W01,PHOTO_C,3,12,45.0,330.0,0.044387,0,2026-07-23 07:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,39,142.0,60.0,44.38,2,2026-07-21 02:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,47,142.0,300.0,43.825,4,2026-07-21 08:00:00
LOT-012,LOT-012-W02,PHOTO_C,6,43,142.0,180.0,41.306,8,2026-07-24 08:00:00
LOT-008,LOT-008-W03,PHOTO_B,9,6,45.0,150.0,44.611,0,2026-07-23 01:00:00
LOT-007,LOT-007-W05,PHOTO_A,15,1,45.0,0.0,44.547,1,2026-07-22 19:00:00
LOT-002,LOT-002-W03,PHOTO_B,9,42,142.0,150.0,45.954,3,2026-07-21 01:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,31,120.0,180.0,45.405,0,2026-07-23 23:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,41,142.0,120.0,44.179,2,2026-07-21 11:00:00
LOT-001,LOT-001-W03,PHOTO_A,9,18,85.0,150.0,45.644,1,2026-07-20 17:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,37,142.0,0.0,45.463,1,2026-07-23 23:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,46,142.0,270.0,45.58,3,2026-07-24 02:00:00
LOT-010,LOT-010-W05,PHOTO_A,15,3,45.0,60.0,44.061,2,2026-07-23 19:00:00
LOT-005,LOT-005-W03,PHOTO_B,9,28,120.0,90.0,44.811,2,2026-07-22 01:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,20,85.0,210.0,45.28,1,2026-07-24 02:00:00
LOT-003,LOT-003-W01,PHOTO_C,3,31,120.0,180.0,44.877,0,2026-07-21 07:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,26,120.0,30.0,44.263,2,2026-07-22 16:00:00
LOT-012,LOT-012-W04,PHOTO_C,12,44,142.0,210.0,41.919,8,2026-07-24 10:00:00
LOT-006,LOT-006-W05,PHOTO_C,15,21,85.0,240.0,44.404,1,2026-07-22 11:00:00
LOT-004,LOT-004-W01,PHOTO_A,3,11,45.0,300.0,44.196,2,2026-07-21 15:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,12,45.0,330.0,45.226,4,2026-07-23 23:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,16,85.0,90.0,44.933,2,2026-07-21 02:00:00
LOT-002,LOT-002-W02,PHOTO_B,6,17,85.0,120.0,45.676,1,2026-07-21 00:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,11,45.0,300.0,44.008,2,2026-07-21 08:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,4,45.0,90.0,45.467,3,2026-07-22 16:00:00
LOT-006,LOT-006-W01,PHOTO_C,3,29,120.0,120.0,42.385,4,2026-07-22 07:00:00
LOT-008,LOT-008-W03,PHOTO_B,9,29,120.0,120.0,46.083,3,2026-07-23 01:00:00
LOT-001,LOT-001-W05,PHOTO_A,15,38,142.0,30.0,43.906,2,2026-07-20 19:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,24,85.0,330.0,45.224,2,2026-07-21 23:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,47,142.0,300.0,42.058,2,2026-07-24 07:00:00
LOT-012,LOT-012-W05,PHOTO_C,15,23,85.0,300.0,44.705,4,2026-07-24 11:00:00
LOT-007,LOT-007-W03,PHOTO_A,9,35,120.0,300.0,45.045,3,2026-07-22 17:00:00
LOT-002,LOT-002-W01,PHOTO_B,3,35,120.0,300.0,44.868,3,2026-07-20 23:00:00
LOT-012,LOT-012-W05,PHOTO_C,15,12,45.0,330.0,45.285,1,2026-07-24 11:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,8,45.0,210.0,45.282,1,2026-07-21 23:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,47,142.0,300.0,0.04547,6,2026-07-24 00:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,34,120.0,270.0,44.235,1,2026-07-23 15:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,10,45.0,270.0,44.328,1,2026-07-23 15:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,27,120.0,60.0,44.633,2,2026-07-21 08:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,4,45.0,90.0,45.557,1,2026-07-23 15:00:00
LOT-006,LOT-006-W05,PHOTO_C,15,26,120.0,30.0,42.504,8,2026-07-22 11:00:00
LOT-003,LOT-003-W04,PHOTO_C,12,46,142.0,270.0,44.951,2,2026-07-21 10:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,39,142.0,60.0,42.318,3,2026-07-23 08:00:00
LOT-005,LOT-005-W02,PHOTO_B,6,12,45.0,330.0,45.575,1,2026-07-22 00:00:00
LOT-007,LOT-007-W05,PHOTO_A,15,46,142.0,270.0,44.477,1,2026-07-22 19:00:00
LOT-009,LOT-009-W05,PHOTO_C,15,45,142.0,240.0,41.219,6,2026-07-23 11:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,44,142.0,210.0,41.132,7,2026-07-24 07:00:00
LOT-008,LOT-008-W03,PHOTO_B,9,47,142.0,300.0,45.337,1,2026-07-23 01:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,5,45.0,120.0,45.075,4,2026-07-20 15:00:00
LOT-004,LOT-004-W02,PHOTO_A,6,6,45.0,150.0,44.501,4,2026-07-21 16:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,10,45.0,270.0,45.984,0,2026-07-21 02:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,14,85.0,30.0,45.443,2,2026-07-24 02:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,8,45.0,210.0,45.608,1,2026-07-23 17:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,40,142.0,90.0,44.441,4,2026-07-21 11:00:00
LOT-002,LOT-002-W03,PHOTO_B,9,10,45.0,270.0,46.64,2,2026-07-21 01:00:00
LOT-006,LOT-006-W02,PHOTO_C,6,34,120.0,270.0,41.679,9,2026-07-22 08:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,16,85.0,90.0,44.139,3,2026-07-23 17:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,11,45.0,300.0,45.847,1,2026-07-24 00:00:00
LOT-006,LOT-006-W01,PHOTO_C,3,27,120.0,60.0,42.221,10,2026-07-22 07:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,44,142.0,210.0,41.863,4,2026-07-23 10:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,31,120.0,180.0,42.288,5,2026-07-23 10:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,32,120.0,210.0,45.609,1,2026-07-21 23:00:00
LOT-011,LOT-011-W05,PHOTO_B,15,11,45.0,300.0,44.609,0,2026-07-24 03:00:00
LOT-003,LOT-003-W03,PHOTO_C,9,47,142.0,300.0,44.604,0,2026-07-21 09:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,28,120.0,90.0,44.501,2,2026-07-20 18:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,33,120.0,240.0,45.003,1,2026-07-21 23:00:00
LOT-002,LOT-002-W01,PHOTO_B,3,10,45.0,270.0,45.123,0,2026-07-20 23:00:00
LOT-008,LOT-008-W05,PHOTO_B,15,10,45.0,270.0,0.045713,3,2026-07-23 03:00:00
LOT-008,LOT-008-W05,PHOTO_B,15,32,120.0,210.0,45.554,3,2026-07-23 03:00:00
LOT-011,LOT-011-W03,PHOTO_B,9,10,45.0,270.0,44.616,0,2026-07-24 01:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,7,45.0,180.0,45.591,1,2026-07-22 16:00:00
LOT-002,LOT-002-W05,PHOTO_B,15,14,85.0,30.0,44.672,0,2026-07-21 03:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,6,45.0,150.0,44.713,3,2026-07-24 07:00:00
LOT-010,LOT-010-W05,PHOTO_A,15,40,142.0,90.0,44.014,3,2026-07-23 19:00:00
LOT-002,LOT-002-W03,PHOTO_B,9,0,0.0,0.0,44.612,0,2026-07-21 01:00:00
LOT-008,LOT-008-W04,PHOTO_B,12,6,45.0,150.0,45.843,1,2026-07-23 02:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,18,85.0,150.0,44.648,2,2026-07-24 09:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,41,142.0,120.0,44.031,0,2026-07-23 17:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,44,142.0,210.0,41.999,11,2026-07-23 08:00:00
LOT-004,LOT-004-W01,PHOTO_A,3,25,120.0,0.0,45.463,1,2026-07-21 15:00:00
LOT-005,LOT-005-W03,PHOTO_B,9,26,120.0,30.0,45.003,0,2026-07-22 01:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,35,120.0,300.0,41.981,5,2026-07-24 07:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,12,45.0,330.0,,1,2026-07-21 11:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,5,45.0,120.0,,3,2026-07-21 11:00:00
LOT-005,LOT-005-W04,PHOTO_B,12,19,85.0,180.0,45.448,0,2026-07-22 02:00:00
LOT-007,LOT-007-W04,PHOTO_A,12,32,120.0,210.0,45.123,1,2026-07-22 18:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,27,120.0,60.0,,2,2026-07-22 03:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,46,142.0,270.0,40.731,6,2026-07-24 09:00:00
LOT-004,LOT-004-W02,PHOTO_A,6,4,45.0,90.0,44.669,1,2026-07-21 16:00:00
LOT-007,LOT-007-W03,PHOTO_A,9,6,45.0,150.0,44.69,2,2026-07-22 17:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,33,120.0,240.0,40.308,5,2026-07-23 08:00:00
LOT-009,LOT-009-W05,PHOTO_C,15,34,120.0,270.0,41.804,1,2026-07-23 11:00:00
LOT-003,LOT-003-W01,PHOTO_C,3,30,120.0,150.0,44.639,5,2026-07-21 07:00:00
LOT-008,LOT-008-W05,PHOTO_B,15,23,85.0,300.0,45.26,2,2026-07-23 03:00:00
LOT-009,LOT-009-W03,PHOTO_C,9,0,0.0,0.0,44.678,5,2026-07-23 09:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,34,120.0,270.0,44.086,1,2026-07-23 17:00:00
LOT-002,LOT-002-W05,PHOTO_B,15,16,85.0,90.0,,1,2026-07-21 03:00:00
LOT-001,LOT-001-W03,PHOTO_A,9,47,142.0,300.0,44.294,1,2026-07-20 17:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,4,45.0,90.0,44.12,2,2026-07-23 10:00:00
LOT-008,LOT-008-W03,PHOTO_B,9,14,85.0,30.0,45.855,0,2026-07-23 01:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,44,142.0,210.0,44.14,3,2026-07-24 00:00:00
LOT-006,LOT-006-W01,PHOTO_C,3,10,45.0,270.0,44.115,1,2026-07-22 07:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,40,142.0,90.0,44.359,0,2026-07-20 15:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,23,85.0,300.0,45.005,2,2026-07-24 00:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,22,85.0,270.0,45.069,1,2026-07-23 15:00:00
LOT-004,LOT-004-W04,PHOTO_A,12,47,142.0,300.0,44.479,2,2026-07-21 18:00:00
LOT-001,LOT-001-W03,PHOTO_A,9,9,45.0,240.0,45.742,0,2026-07-20 17:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,7,45.0,180.0,45.256,0,2026-07-21 02:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,27,120.0,60.0,45.442,3,2026-07-23 23:00:00
LOT-008,LOT-008-W01,PHOTO_B,3,23,85.0,300.0,46.01,4,2026-07-22 23:00:00
LOT-011,LOT-011-W03,PHOTO_B,9,17,85.0,120.0,44.834,2,2026-07-24 01:00:00
LOT-006,LOT-006-W03,PHOTO_C,9,11,45.0,300.0,45.465,1,2026-07-22 09:00:00
LOT-008,LOT-008-W01,PHOTO_B,3,46,142.0,270.0,44.18,1,2026-07-22 23:00:00
LOT-004,LOT-004-W03,PHOTO_A,9,46,142.0,270.0,44.063,0,2026-07-21 17:00:00
LOT-005,LOT-005-W04,PHOTO_B,12,18,85.0,150.0,45.75,1,2026-07-22 02:00:00
LOT-008,LOT-008-W02,PHOTO_B,6,28,120.0,90.0,46.861,0,2026-07-23 00:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,35,120.0,300.0,41.187,8,2026-07-23 08:00:00
LOT-002,LOT-002-W02,PHOTO_B,6,6,45.0,150.0,45.604,0,2026-07-21 00:00:00
LOT-006,LOT-006-W03,PHOTO_C,9,34,120.0,270.0,42.047,9,2026-07-22 09:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,36,120.0,330.0,45.388,0,2026-07-22 03:00:00
LOT-008,LOT-008-W02,PHOTO_B,6,4,45.0,90.0,45.376,1,2026-07-23 00:00:00
LOT-012,LOT-012-W05,PHOTO_C,15,25,120.0,0.0,41.322,9,2026-07-24 11:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,5,45.0,120.0,44.802,1,2026-07-23 15:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,9,45.0,240.0,45.974,2,2026-07-23 23:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,46,142.0,270.0,,0,2026-07-21 11:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,18,85.0,150.0,45.007,3,2026-07-22 16:00:00
LOT-002,LOT-002-W01,PHOTO_B,3,0,0.0,0.0,46.153,2,2026-07-20 23:00:00
LOT-006,LOT-006-W02,PHOTO_C,6,39,142.0,60.0,41.649,3,2026-07-22 08:00:00
LOT-009,LOT-009-W03,PHOTO_C,9,26,120.0,30.0,41.006,6,2026-07-23 09:00:00
LOT-009,LOT-009-W05,PHOTO_C,15,43,142.0,180.0,41.661,9,2026-07-23 11:00:00
LOT-008,LOT-008-W03,PHOTO_B,9,9,45.0,240.0,46.212,2,2026-07-23 01:00:00
LOT-002,LOT-002-W01,PHOTO_B,3,3,45.0,60.0,44.834,2,2026-07-20 23:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,14,85.0,30.0,44.926,2,2026-07-20 15:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,12,45.0,330.0,46.184,4,2026-07-24 02:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,41,142.0,120.0,45.879,0,2026-07-21 23:00:00
LOT-005,LOT-005-W03,PHOTO_B,9,19,85.0,180.0,45.886,1,2026-07-22 01:00:00
LOT-005,LOT-005-W02,PHOTO_B,6,14,85.0,30.0,45.019,2,2026-07-22 00:00:00
LOT-001,LOT-001-W05,PHOTO_A,15,22,85.0,270.0,45.7,2,2026-07-20 19:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,33,120.0,240.0,45.485,0,2026-07-20 18:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,21,85.0,240.0,44.895,1,2026-07-23 23:00:00
LOT-008,LOT-008-W02,PHOTO_B,6,21,85.0,240.0,45.277,0,2026-07-23 00:00:00
LOT-010,LOT-010-W02,PHOTO_A,6,2,45.0,30.0,45.843,1,2026-07-23 16:00:00
LOT-005,LOT-005-W01,PHOTO_B,3,10,45.0,270.0,46.201,0,2026-07-21 23:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,14,85.0,30.0,45.135,0,2026-07-20 18:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,10,45.0,270.0,44.746,2,2026-07-23 08:00:00
LOT-007,LOT-007-W01,PHOTO_A,3,43,142.0,180.0,44.137,1,2026-07-22 15:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,25,120.0,0.0,45.094,4,2026-07-24 00:00:00
LOT-006,LOT-006-W05,PHOTO_C,15,16,85.0,90.0,44.904,0,2026-07-22 11:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,15,85.0,60.0,44.276,1,2026-07-21 11:00:00
LOT-005,LOT-005-W02,PHOTO_B,6,5,45.0,120.0,45.302,2,2026-07-22 00:00:00
LOT-006,LOT-006-W05,PHOTO_C,15,3,45.0,60.0,44.883,0,2026-07-22 11:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,6,45.0,150.0,45.16,2,2026-07-20 15:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,21,85.0,240.0,44.809,2,2026-07-23 08:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,37,142.0,0.0,0.044243,2,2026-07-22 16:00:00
LOT-004,LOT-004-W02,PHOTO_A,6,31,120.0,180.0,44.425,1,2026-07-21 16:00:00
LOT-010,LOT-010-W03,PHOTO_A,9,21,85.0,240.0,44.59,3,2026-07-23 17:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,29,120.0,120.0,45.508,2,2026-07-23 23:00:00
LOT-002,LOT-002-W05,PHOTO_B,15,31,120.0,180.0,45.407,1,2026-07-21 03:00:00
LOT-003,LOT-003-W05,PHOTO_C,15,20,85.0,210.0,44.174,0,2026-07-21 11:00:00
LOT-005,LOT-005-W04,PHOTO_B,12,36,120.0,330.0,45.413,2,2026-07-22 02:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,19,85.0,180.0,43.113,2,2026-07-23 08:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,42,142.0,150.0,41.701,4,2026-07-23 08:00:00
LOT-012,LOT-012-W04,PHOTO_C,12,11,45.0,300.0,43.914,0,2026-07-24 10:00:00
LOT-011,LOT-011-W05,PHOTO_B,15,7,45.0,180.0,45.835,1,2026-07-24 03:00:00
LOT-007,LOT-007-W02,PHOTO_A,6,45,142.0,240.0,44.851,0,2026-07-22 16:00:00
LOT-004,LOT-004-W04,PHOTO_A,12,16,85.0,90.0,44.852,2,2026-07-21 18:00:00
LOT-011,LOT-011-W03,PHOTO_B,9,28,120.0,90.0,45.353,3,2026-07-24 01:00:00
LOT-008,LOT-008-W05,PHOTO_B,15,17,85.0,120.0,45.808,4,2026-07-23 03:00:00
LOT-011,LOT-011-W01,PHOTO_B,3,32,120.0,210.0,44.497,2,2026-07-23 23:00:00
LOT-001,LOT-001-W02,PHOTO_A,6,42,142.0,150.0,44.719,2,2026-07-20 16:00:00
LOT-003,LOT-003-W02,PHOTO_C,6,10,45.0,270.0,45.799,4,2026-07-21 08:00:00
LOT-005,LOT-005-W04,PHOTO_B,12,43,142.0,180.0,45.354,3,2026-07-22 02:00:00
LOT-010,LOT-010-W01,PHOTO_A,3,20,85.0,210.0,44.2,0,2026-07-23 15:00:00
LOT-009,LOT-009-W02,PHOTO_C,6,9,45.0,240.0,44.641,2,2026-07-23 08:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,37,142.0,0.0,41.758,8,2026-07-23 10:00:00
LOT-012,LOT-012-W04,PHOTO_C,12,24,85.0,330.0,45.976,0,2026-07-24 10:00:00
LOT-007,LOT-007-W03,PHOTO_A,9,4,45.0,90.0,44.275,1,2026-07-22 17:00:00
LOT-007,LOT-007-W03,PHOTO_A,9,38,142.0,30.0,44.216,1,2026-07-22 17:00:00
LOT-001,LOT-001-W01,PHOTO_A,3,41,142.0,120.0,44.328,4,2026-07-20 15:00:00
LOT-012,LOT-012-W05,PHOTO_C,15,31,120.0,180.0,41.523,9,2026-07-24 11:00:00
LOT-008,LOT-008-W01,PHOTO_B,3,22,85.0,270.0,44.995,1,2026-07-22 23:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,2,45.0,30.0,44.97,2,2026-07-24 07:00:00
LOT-003,LOT-003-W03,PHOTO_C,9,48,142.0,330.0,44.927,0,2026-07-21 09:00:00
LOT-001,LOT-001-W03,PHOTO_A,9,1,45.0,0.0,44.631,4,2026-07-20 17:00:00
LOT-010,LOT-010-W05,PHOTO_A,15,43,142.0,180.0,43.97,0,2026-07-23 19:00:00
LOT-002,LOT-002-W02,PHOTO_B,6,20,85.0,210.0,45.069,1,2026-07-21 00:00:00
LOT-007,LOT-007-W05,PHOTO_A,15,12,45.0,330.0,,1,2026-07-22 19:00:00
LOT-011,LOT-011-W03,PHOTO_B,9,38,142.0,30.0,45.457,0,2026-07-24 01:00:00
LOT-012,LOT-012-W01,PHOTO_C,3,36,120.0,330.0,41.747,13,2026-07-24 07:00:00
LOT-002,LOT-002-W02,PHOTO_B,6,48,142.0,330.0,44.929,0,2026-07-21 00:00:00
LOT-003,LOT-003-W03,PHOTO_C,9,2,45.0,30.0,45.179,3,2026-07-21 09:00:00
LOT-002,LOT-002-W01,PHOTO_B,3,29,120.0,120.0,44.491,2,2026-07-20 23:00:00
LOT-005,LOT-005-W05,PHOTO_B,15,14,85.0,30.0,45.525,2,2026-07-22 03:00:00
LOT-011,LOT-011-W02,PHOTO_B,6,17,85.0,120.0,45.223,0,2026-07-24 00:00:00
LOT-002,LOT-002-W05,PHOTO_B,15,22,85.0,270.0,46.138,3,2026-07-21 03:00:00
LOT-012,LOT-012-W03,PHOTO_C,9,7,45.0,180.0,44.901,1,2026-07-24 09:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,1,45.0,0.0,44.616,2,2026-07-20 18:00:00
LOT-012,LOT-012-W02,PHOTO_C,6,8,45.0,210.0,44.909,2,2026-07-24 08:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,3,45.0,60.0,45.719,0,2026-07-24 02:00:00
LOT-002,LOT-002-W04,PHOTO_B,12,3,45.0,60.0,45.751,1,2026-07-21 02:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,39,142.0,60.0,45.044,4,2026-07-24 02:00:00
LOT-009,LOT-009-W01,PHOTO_C,3,17,85.0,120.0,44.744,3,2026-07-23 07:00:00
LOT-011,LOT-011-W04,PHOTO_B,12,1,45.0,0.0,46.432,0,2026-07-24 02:00:00
LOT-005,LOT-005-W03,PHOTO_B,9,25,120.0,0.0,44.733,3,2026-07-22 01:00:00
LOT-009,LOT-009-W04,PHOTO_C,12,21,85.0,240.0,44.267,1,2026-07-23 10:00:00
LOT-009,LOT-009-W05,PHOTO_C,15,29,120.0,120.0,41.014,11,2026-07-23 11:00:00
LOT-003,LOT-003-W01,PHOTO_C,3,27,120.0,60.0,44.639,2,2026-07-21 07:00:00
LOT-005,LOT-005-W03,PHOTO_B,9,20,85.0,210.0,45.702,2,2026-07-22 01:00:00
LOT-008,LOT-008-W02,PHOTO_B,6,24,85.0,330.0,45.186,2,2026-07-23 00:00:00
LOT-012,LOT-012-W02,PHOTO_C,6,3,45.0,60.0,45.187,0,2026-07-24 08:00:00
LOT-001,LOT-001-W04,PHOTO_A,12,47,142.0,300.0,44.761,2,2026-07-20 18:00:00
