group_type,group_value,pr_tone,count,pct_of_dataset
lot_id,L0001,NEGATIVE,5,0.6211
lot_id,L0001,POSITIVE,15,1.8634
lot_id,L0002,NEGATIVE,7,0.8696
lot_id,L0002,POSITIVE,14,1.7391
lot_id,L0003,NEGATIVE,4,0.4969
lot_id,L0003,POSITIVE,16,1.9876
lot_id,L0004,NEGATIVE,8,0.9938
lot_id,L0004,POSITIVE,12,1.4907
lot_id,L0005,NEGATIVE,8,0.9938
lot_id,L0005,POSITIVE,12,1.4907
lot_id,L0006,MISSING,1,0.1242
lot_id,L0006,NEGATIVE,5,0.6211
lot_id,L0006,POSITIVE,14,1.7391
lot_id,L0007,NEGATIVE,8,0.9938
lot_id,L0007,POSITIVE,12,1.4907
lot_id,L0008,NEGATIVE,8,0.9938
lot_id,L0008,POSITIVE,12,1.4907
lot_id,L0009,MISSING,1,0.1242
lot_id,L0009,NEGATIVE,9,1.1180
lot_id,L0009,POSITIVE,10,1.2422
lot_id,L0010,NEGATIVE,6,0.7453
lot_id,L0010,POSITIVE,14,1.7391
lot_id,L0011,MISSING,1,0.1242
lot_id,L0011,NEGATIVE,4,0.4969
lot_id,L0011,POSITIVE,15,1.8634
lot_id,L0012,NEGATIVE,11,1.3665
lot_id,L0012,POSITIVE,9,1.1180
lot_id,L0013,MISSING,1,0.1242
lot_id,L0013,NEGATIVE,3,0.3727
lot_id,L0013,POSITIVE,16,1.9876
lot_id,L0014,NEGATIVE,8,0.9938
lot_id,L0014,POSITIVE,12,1.4907
lot_id,L0015,NEGATIVE,7,0.8696
lot_id,L0015,POSITIVE,13,1.6149
lot_id,L0016,NEGATIVE,3,0.3727
lot_id,L0016,POSITIVE,17,2.1118
lot_id,L0017,NEGATIVE,11,1.3665
lot_id,L0017,POSITIVE,9,1.1180
lot_id,L0018,MISSING,1,0.1242
lot_id,L0018,NEGATIVE,5,0.6211
lot_id,L0018,POSITIVE,15,1.8634
lot_id,L0019,MISSING,1,0.1242
lot_id,L0019,NEGATIVE,6,0.7453
lot_id,L0019,POSITIVE,13,1.6149
lot_id,L0020,NEGATIVE,5,0.6211
lot_id,L0020,POSITIVE,15,1.8634
lot_id,L0021,NEGATIVE,9,1.1180
lot_id,L0021,POSITIVE,12,1.4907
lot_id,L0022,MISSING,2,0.2484
lot_id,L0022,NEGATIVE,5,0.6211
lot_id,L0022,POSITIVE,13,1.6149
lot_id,L0023,NEGATIVE,6,0.7453
lot_id,L0023,POSITIVE,14,1.7391
lot_id,L0024,NEGATIVE,8,0.9938
lot_id,L0024,POSITIVE,12,1.4907
lot_id,L0025,NEGATIVE,6,0.7453
lot_id,L0025,POSITIVE,14,1.7391
lot_id,L0026,NEGATIVE,4,0.4969
lot_id,L0026,POSITIVE,16,1.9876
lot_id,L0027,NEGATIVE,9,1.1180
lot_id,L0027,POSITIVE,11,1.3665
lot_id,L0028,NEGATIVE,11,1.3665
lot_id,L0028,POSITIVE,9,1.1180
lot_id,L0029,NEGATIVE,5,0.6211
lot_id,L0029,POSITIVE,15,1.8634
lot_id,L0030,NEGATIVE,9,1.1180
lot_id,L0030,POSITIVE,11,1.3665
lot_id,L0031,NEGATIVE,5,0.6211
lot_id,L0031,POSITIVE,15,1.8634
lot_id,L0032,NEGATIVE,8,0.9938
lot_id,L0032,POSITIVE,12,1.4907
lot_id,L0033,MISSING,1,0.1242
lot_id,L0033,NEGATIVE,4,0.4969
lot_id,L0033,POSITIVE,15,1.8634
lot_id,L0034,NEGATIVE,6,0.7453
lot_id,L0034,POSITIVE,15,1.8634
lot_id,L0035,NEGATIVE,8,0.9938
lot_id,L0035,POSITIVE,12,1.4907
lot_id,L0036,NEGATIVE,7,0.8696
lot_id,L0036,POSITIVE,13,1.6149
lot_id,L0037,MISSING,1,0.1242
lot_id,L0037,NEGATIVE,8,0.9938
lot_id,L0037,POSITIVE,11,1.3665
lot_id,L0038,MISSING,1,0.1242
lot_id,L0038,NEGATIVE,8,0.9938
lot_id,L0038,POSITIVE,11,1.3665
lot_id,L0039,NEGATIVE,5,0.6211
lot_id,L0039,POSITIVE,16,1.9876
