sample_id,lot_id,tool_id,sequence,dose,focus_nm,pr_thickness_nm,peb_temp_c,field_x,field_y,cd_nm,cdu_3sigma_nm,ler_nm,defect_probability,spec_pass
S00564,L0028,T02,564,,-0.001379,91.415079,106.250066,0.939354,-0.700229,54.962849,2.689789,4.222662,0.10417,FAIL
S00508,L0025,T01,508,103.202017,0.099112,94.552133,108.895924,-0.510595,-0.175782,51.908501,3.309228,1.549068,0.044587,FAIL
S00420,L0021,T01,420,94.981919,0.010089,96.867646,106.945328,-0.765852,-0.255294,48.85729,2.375818,3.51495,0.056065,PASS
S00195,L0009,T02,195,95.426473,0.007867,91.91175,114.335515,-0.842715,-0.895912,49.971927,2.64098,5.172565,0.157997,PASS
S00087,L0004,T02,87,92.898948,0.041772,100.098809,109.077665,0.059293,0.127023,47.743679,2.546667,1.358457,0.020717,PASS
S00574,L0028,T03,574,98.313942,-0.016108,92.155611,110.357939,0.770971,0.249383,52.131661,2.812273,1.711327,0.031593,PASS
S00608,L0030,T03,608,100.507071,0.073473,478.061525,110.352681,,0.085422,53.148842,3.557367,1.279308,0.047891,FAIL
S00428,L0021,T01,428,,0.045121,88.381215,112.165941,-0.899673,0.706749,56.062778,3.118605,2.736978,0.070246,FAIL
S00772,L0038,T01,772,98.25445,-0.048392,91.524568,110.145495,-0.450698,-0.559936,48.224975,2.549028,1.211544,0.01918,PASS
S00041,L0002,T03,41,97.214657,0.097394,96.548285,107.18724,0.903849,-0.495892,51.458239,3.866397,3.088334,0.152302,FAIL
S00237,L0011,T03,237,94.979296,0.004911,102.785316,108.520018,-0.310742,-0.97579,50.405478,2.609027,1.734482,0.026781,PASS
S00299,L0014,T01,299,96.500523,-0.054577,90.037788,109.8759,-0.275797,-0.197264,48.881271,2.643811,1.338296,0.022324,PASS
S00534,L0026,T02,534,107.152441,0.083032,90.954542,110.352677,-0.509243,-0.130868,53.53693,3.454916,1.505506,0.049381,FAIL
S00560,L0028,T02,560,101.941221,0.258043,91.172754,109.043782,-0.364853,-0.983685,52.854991,6.99827,1.47304,0.553202,FAIL
S00455,L0022,T01,455,100.080563,-0.031519,98.699625,110.34842,-0.362193,0.554477,50.592282,2.9988,1.395456,0.031414,PASS
S00322,L0016,T02,322,98.19402,0.073193,103.983947,109.218388,-0.208302,0.768693,49.918821,3.433562,1.448729,0.047066,FAIL
S00706,L0035,T02,706,97.320649,-0.058215,93.341359,110.814684,-0.567455,-0.454379,48.341738,3.027664,1.689271,0.037652,PASS
S00260,L0013,T01,260,104.48339,-0.133652,101.639807,106.926992,-0.124786,-0.914637,49.740823,4.714914,3.188596,0.289493,FAIL
S00097,L0004,T01,97,102.864093,0.117758,93.992827,111.994309,0.880969,-0.861046,53.049232,4.860878,1.988978,0.19368,FAIL
S00751,L0037,T01,751,95.846906,-0.072353,91.286574,109.128682,-0.437428,0.378013,49.086112,2.778616,1.884559,0.033643,PASS
S00448,L0022,T01,448,105.137672,-0.033275,94.225962,110.552553,0.664013,0.013932,52.343163,2.248777,1.287236,0.015321,PASS
S00427,L0021,T01,427,112.82873,0.080646,97.869665,111.774122,-0.262359,0.974759,56.846359,3.786198,1.871376,0.078844,FAIL
S00401,L0020,T01,401,102.283236,0.170317,92.324077,111.345347,0.288996,-0.490921,49.021275,5.174705,1.398084,0.187122,FAIL
S00350,L0017,T02,350,97.2953,-0.01463,93.623674,106.27113,-0.773401,0.520548,52.190277,2.475954,4.17019,0.085252,PASS
S00206,L0010,T02,206,93.577724,0.170052,93.915935,110.971841,-0.808914,-0.28367,47.591588,5.519169,1.552164,0.254632,FAIL
S00618,L0030,T01,618,93.659521,0.077438,100.014472,112.530106,-0.553688,-0.280814,49.017156,3.502412,2.870214,0.103011,FAIL
S00459,L0022,T01,459,,-0.009449,96.310243,112.052161,0.960174,-0.892216,52.684906,3.26972,2.06573,0.05646,FAIL
S00502,L0025,T01,502,105.773047,0.029291,96.669245,109.719634,-0.882588,-0.151048,52.029245,3.179672,1.533257,0.039544,PASS
S00119,L0005,T01,119,105.820004,0.080537,96.722142,109.734064,-0.435966,0.910076,53.39405,4.250738,1.709559,0.106303,FAIL
S00447,L0022,T01,447,103.476407,0.097015,92.614653,108.572402,0.510683,0.991854,51.528119,4.433019,1.518076,0.112013,FAIL
S00186,L0009,T01,186,97.771035,-0.072396,95.915142,107.486082,-0.70801,-0.497073,50.612835,3.755157,2.281714,0.094455,FAIL
S00466,L0023,T01,466,,0.014436,86.103346,111.177552,-0.270975,-0.372665,49.037982,2.426708,1.922461,0.025244,PASS
S00445,L0022,T01,445,93.521007,-0.063073,97.630387,109.532764,-0.916971,0.349066,48.910228,3.378194,1.622392,0.049158,FAIL
S00624,L0031,T01,624,93.445355,-0.057262,98.229104,108.212852,-0.504157,0.775963,49.295316,3.997089,2.148979,0.107582,FAIL
S00163,L0008,T01,163,110.226046,-0.012843,98.486556,109.578856,0.77161,0.235597,52.888012,2.386278,1.403044,0.018421,PASS
S00551,L0027,T03,551,101.056186,-0.056514,89.697072,,0.687792,-0.430376,53.81549,2.778668,3.402761,0.074283,FAIL
S00229,L0011,T02,229,106.65853,-0.162118,93.013536,110.785388,-0.254533,,52.488423,4.664562,1.554392,0.136818,FAIL
S00089,L0004,T03,89,109.302971,0.03214,90.873375,109.965716,0.563756,,55.711484,2.280264,1.825896,0.021072,FAIL
S00638,L0031,T01,638,96.197346,0.032063,94.424202,109.574179,0.590001,0.157056,48.483973,2.842996,1.506867,0.029099,PASS
S00342,L0017,T01,342,104.396263,-0.049133,94.253188,107.261232,0.349287,0.881927,52.845539,3.469275,2.635873,0.089242,FAIL
S00247,L0012,T01,247,100.33683,0.112317,101.476663,111.532447,-0.246025,0.933646,49.966964,4.292579,1.824365,0.116266,FAIL
S00038,L0001,T02,38,101.045619,0.0871,99.218168,108.312263,0.169295,0.494524,50.686292,3.028706,1.468929,0.033529,PASS
S00658,L0032,T01,658,92.105728,-0.025308,95.023674,108.260009,-0.499136,-0.86047,48.489789,3.070071,2.055546,0.047363,PASS
S00566,L0028,T03,566,103.105992,,87.180643,109.135854,-0.385613,-0.646869,53.274849,2.120722,1.452177,0.014955,FAIL
S00027,L0001,T01,27,105.149167,-0.005971,98.150408,110.690732,0.017383,-0.612014,51.455405,2.161024,1.357265,0.014722,PASS
S00010,L0000,T01,10,98.784228,0.147778,100.696514,104.949821,-0.99517,-0.525603,50.614507,5.201298,6.537108,0.799244,FAIL
S00112,L0005,T01,112,98.508687,0.103345,89.526912,116.595652,-0.247078,,47.589837,3.662609,9.883665,0.862637,FAIL
S00717,L0035,T01,717,101.670618,0.052067,96.584523,112.905699,0.122109,-0.867175,52.143597,3.139772,3.13807,0.087602,PASS
S00146,L0007,T02,146,96.252359,0.048784,93.426614,111.137726,0.038647,0.463835,50.446521,2.640892,1.4802,0.024031,PASS
S00323,L0016,T02,323,93.807061,-0.060945,94.454943,110.689882,-0.189126,0.931851,49.55524,3.174905,1.502156,0.038739,PASS
S00282,L0014,T01,282,99.257458,0.077491,83.945815,108.292612,0.257886,0.665611,52.695928,3.32994,1.673461,0.048446,FAIL
S00598,L0029,T02,598,93.581535,-0.058797,100.640637,107.609838,-0.670843,-0.615821,49.17246,3.314231,2.501572,0.07335,FAIL
S00285,L0014,T01,285,108.501628,0.007103,90.650468,106.956804,-0.286447,0.750268,55.36742,2.531148,3.459727,0.062145,FAIL
S00033,L0001,T02,33,95.094436,0.022034,95.904665,110.020327,0.507453,0.200184,48.392588,2.133019,1.256351,0.013596,PASS
S00349,L0017,T02,349,99.647649,0.031768,103.619714,109.591868,0.587446,0.01644,51.219398,2.669405,1.336686,0.022813,PASS
S00173,L0008,T01,173,97.335955,-0.022821,98.142892,110.156384,-0.158814,-0.911611,51.049604,2.843725,1.57172,0.030143,PASS
S00763,L0038,T01,763,94.087642,-0.183055,89.894397,109.495344,0.51026,0.328764,49.157918,5.134196,1.391068,0.181067,FAIL
S00469,L0023,T02,469,93.655699,-0.048265,103.028427,107.925555,-0.565299,0.620257,48.05275,3.184732,2.294856,0.059158,PASS
S00556,L0027,T01,556,90.874876,0.052262,97.966263,109.158104,-0.292647,-0.151646,46.249044,2.913237,1.825018,0.036639,FAIL
S00593,L0029,T02,593,98.760098,0.187989,97.272579,1106.31945,0.934186,0.081856,52.048104,5.62167,1.429084,0.259321,FAIL
S00499,L0024,T01,499,92.216088,0.054799,,114.992065,0.939952,0.987967,49.61788,3.894277,5.989018,0.475971,FAIL
S00246,L0012,T03,246,100.557911,0.05108,95.174507,110.363562,-0.896195,0.388072,52.93607,2.799963,1.579967,0.029141,PASS
S00326,L0016,T02,326,101.656171,0.092038,92.752825,110.293572,0.074577,-0.48653,50.656172,3.19074,1.216872,0.033763,PASS
S00471,L0023,T01,471,96.891406,0.025362,90.015002,110.204854,-0.180299,-0.531503,49.085995,2.249164,1.236169,0.014908,PASS
S00236,L0011,T01,236,99.500407,0.061849,92.87155,109.174316,-0.737656,0.496516,50.751137,3.406368,1.512154,0.047535,FAIL
S00376,L0018,T01,376,96.913976,0.003766,93.777265,109.897294,-0.936526,0.755893,50.840257,2.3494,1.279013,0.016674,PASS
S00690,L0034,T01,690,101.567287,0.083445,104.088842,114.653596,-0.317505,-0.955265,52.731408,3.73813,5.646181,0.395253,FAIL
S00514,L0025,T03,514,95.46527,0.10439,87.973672,110.997789,-0.648308,0.497244,50.821763,4.17872,1.632587,0.096544,FAIL
S00019,L0000,T01,19,103.120844,-0.059397,96.353568,107.689159,-0.569789,0.426422,51.313951,3.198648,2.36611,0.062102,PASS
S00659,L0032,T01,659,100.252517,-0.037359,89.768618,108.155472,0.153672,-0.559884,51.561812,3.017899,1.441094,0.032727,PASS
S00727,L0036,T03,727,96.507074,0.124606,94.142641,108.755358,-0.725286,,52.537055,5.282155,1.619205,0.222614,FAIL
S00179,L0008,T02,179,104.332271,0.112655,95.775578,112.42327,0.36616,-0.443243,51.397358,3.75327,3.038213,0.136339,FAIL
S00153,L0007,T01,153,96.4365,0.097466,103.228403,106.611879,0.122919,-0.247529,46.642518,3.277862,3.500654,0.117164,FAIL
S00032,L0001,T01,32,104.824152,-0.022701,93.88112,108.897672,0.311276,0.561853,52.612568,2.346354,1.590006,0.01967,PASS
S00304,L0015,T01,304,93.889264,-0.177563,98.805304,112.078569,0.124735,-0.709747,48.732623,5.676349,2.03835,0.339574,FAIL
S00289,L0014,T01,289,97.8274,-0.024641,99.92034,111.476859,0.192708,0.996966,49.930226,3.152294,1.660378,0.0413,PASS
S00795,L0039,T01,795,100.100971,-0.127127,100.386259,111.32839,0.692841,0.532037,50.989557,4.509493,1.528636,0.119654,FAIL
S00431,L0021,T01,431,90.565276,-0.042495,90.984838,109.224561,0.849045,-0.604768,49.426074,3.259531,1.930783,0.052179,FAIL
S00327,L0016,T01,327,96.057754,0.128649,100.190367,110.726764,0.37003,-0.245977,46.25608,4.218606,1.351641,0.086681,FAIL
S00652,L0032,T01,652,105.276643,0.016255,100.504832,115.223561,0.608789,-0.572082,52.973897,2.53179,6.796255,0.293499,PASS
S00444,L0022,T01,444,110.054939,-0.029892,91.93888,114.433415,-0.984224,0.073153,54.066736,2.958039,5.34463,0.215308,FAIL
S00539,L0026,T01,539,99.384198,0.055361,98.065033,111.772179,0.817092,0.930309,51.389428,3.676941,1.8453,0.071039,FAIL
S00591,L0029,T01,591,100.920198,-0.060401,94.912786,,0.498011,0.703686,52.398518,3.472525,1.94741,0.063053,FAIL
S00491,L0024,T01,491,96.773153,-0.120424,93.520876,109.319272,-0.133353,0.3996,48.134716,4.198588,1.598828,0.096484,FAIL
S00798,L0039,T03,798,101.828171,0.210871,95.074163,110.704976,-0.124533,0.994573,53.077534,6.232003,1.354704,0.367929,FAIL
S00140,L0007,T01,140,97.494495,0.066459,98.789181,111.730732,0.735215,-0.086303,50.835771,3.327429,1.94684,0.055748,FAIL
S00493,L0024,T01,493,104.92887,-0.044529,95.593716,106.423994,0.27146,-0.489927,51.499571,2.861397,3.998854,0.107132,PASS
S00023,L0001,T01,23,106.999576,-0.194481,98.631025,107.262236,0.205646,-0.726394,51.101244,5.358996,2.775504,0.366938,FAIL
S00158,L0007,T01,158,98.299143,0.089809,92.638244,108.992795,-0.415312,-0.66399,50.140106,3.491513,1.678464,0.055752,FAIL
S00423,L0021,T03,423,100.370093,-0.000905,98.934666,112.232089,0.099221,-0.765215,52.357535,2.155027,2.040663,0.021184,PASS
S00540,L0027,T02,540,98.600559,-0.136483,,111.451955,-0.190257,0.348647,48.964667,4.461201,1.750196,0.128162,FAIL
S00107,L0005,T01,107,,0.131689,91.972415,111.42468,-0.600173,0.960474,49.296291,5.179453,1.864303,0.230033,FAIL
S00276,L0013,T02,276,100.383012,0.199734,101.960182,109.005273,0.871131,-0.310357,51.398105,6.08109,1.107587,0.307284,FAIL
S00582,L0029,T02,582,104.613704,0.083707,97.381208,106.739486,0.363117,,52.025778,2.951624,3.579841,0.09367,PASS
S00030,L0001,T01,30,108.749738,-0.210543,93.574406,109.338963,0.287267,-0.789722,52.412792,6.003827,1.812117,0.378742,FAIL
S00779,L0038,T02,779,94.267968,0.057291,96.442493,109.572484,0.564822,-0.534192,50.717376,3.027071,1.287153,0.030392,PASS
S00288,L0014,T02,288,92.748372,-0.029695,98.568516,111.538336,-0.25356,0.375106,49.19709,1.694222,1.85073,0.012713,PASS
S00778,L0038,T03,778,94.061183,0.018132,96.059417,111.12128,-0.849634,-0.38978,50.238505,2.662441,1.868235,0.030141,PASS
S00725,L0036,T02,725,101.282336,0.073872,94.494326,111.06453,-0.964062,-0.534287,53.674236,3.916778,1.36406,0.067883,FAIL
S00495,L0024,T01,495,99.985549,0.030466,93.213967,113.022711,-0.791922,-0.778268,49.636099,3.780342,3.067296,0.141161,FAIL
S00055,L0002,T01,55,96.629624,0.105725,94.375115,106.606016,-0.356615,0.256282,48.15966,3.424612,3.670559,0.142578,FAIL
S00627,L0031,T01,627,98.659948,-0.114533,97.494403,111.610144,-0.037965,0.598755,49.633771,3.709262,1.998689,0.0789,FAIL
S00692,L0034,T02,692,97.674056,-0.003668,88.956736,113.840582,0.861176,0.664569,49.137101,2.706985,4.301438,0.109787,PASS
S00695,L0034,T01,695,102.615819,-0.040504,98.635922,112.676786,-0.966104,0.664235,53.98545,3.31538,2.806107,0.085661,FAIL
S00199,L0009,T01,199,95.308899,0.041737,92.62612,111.5572,-0.864278,0.861455,50.620653,3.4852,1.853233,0.060709,FAIL
S00160,L0008,T01,160,98.973131,-0.018696,99.410604,103.937226,-0.984813,0.928137,49.597878,3.683639,8.623262,0.76189,FAIL
S00013,L0000,T03,13,115.922903,0.034932,91.308631,,0.944361,0.885409,60.365818,3.326727,2.812657,0.08675,FAIL
S00443,L0022,T02,443,108.790619,-0.048495,95.188104,108.449463,-0.482354,-0.840627,54.645764,3.373024,1.995778,0.059435,FAIL
S00785,L0039,T01,785,92.985326,0.026717,90.45827,109.255266,0.593588,0.516129,48.922035,2.252282,1.513052,0.017365,PASS
S00742,L0037,T03,742,92.438007,-0.057747,93.642001,112.301936,-0.924983,-0.195849,49.99444,3.156721,2.803845,0.075033,PASS
S00546,L0027,T01,546,106.853682,0.063352,98.660456,110.055242,-0.205079,-0.289696,52.475758,2.944241,1.535091,0.032268,PASS
S00660,L0033,T01,660,99.112456,0.11078,97.518672,109.554789,0.746359,-0.949606,49.884853,4.566178,1.261418,0.10991,FAIL
S00490,L0024,T02,490,96.666938,-0.079102,93.594593,111.267977,0.167734,-0.824721,50.055309,4.037373,-2.823683,0.086032,FAIL
S00156,L0007,T01,156,97.277108,-0.097019,99.938171,110.053428,0.156927,-0.344006,48.341465,3.391177,1.399037,0.044215,FAIL
S00446,L0022,T02,446,105.938862,0.173237,100.450957,110.307303,0.66534,-0.59374,53.215877,5.272714,1.583253,0.21776,FAIL
S00382,L0019,T03,382,96.746002,-0.146338,,110.653953,-0.446743,0.213637,51.96659,4.516195,1.549281,0.121498,FAIL
S00113,L0005,T01,113,97.826232,-0.124132,91.51147,107.689054,-0.629527,0.113367,49.617203,4.081039,2.438511,0.132287,FAIL
S00088,L0004,T01,88,107.852119,0.015666,96.954111,108.840831,-0.062237,-0.573202,52.34678,1.816221,1.570987,0.012172,PASS
S00607,L0030,T01,607,97.25179,0.036071,100.513989,108.097097,0.96193,0.882947,50.508801,3.387875,1.925921,0.05805,FAIL
S00165,L0008,T02,165,87.711172,-0.038882,93.021867,108.806964,-0.281952,-0.138869,46.658252,2.832919,1.98908,0.037277,FAIL
S00120,L0006,T01,120,94.360523,0.065333,93.880875,108.061359,-0.940443,-0.260309,47.293333,3.159087,2.221817,0.055734,PASS
S00093,L0004,T03,93,103.50493,-0.008819,,111.511624,0.003195,0.944798,53.806971,2.585616,1.780646,0.026894,FAIL
S00232,L0011,T01,232,109.189969,-0.02552,93.500782,114.488461,0.943321,-0.874775,53.918141,3.523246,5.698365,0.35664,FAIL
S00115,L0005,T01,115,100.453465,0.007032,95.544483,109.768746,-0.514201,0.657445,49.949211,2.189024,1.686176,0.018031,FAIL
S00053,L0002,T03,53,101.4735,-0.13423,100.034144,111.10139,0.153342,-0.749448,51.939677,4.262385,1.471363,0.095384,FAIL
S00231,L0011,T01,231,111.372109,-0.046446,909.03058,113.472384,-0.397758,0.216425,51.355287,2.321446,3.942196,0.066764,PASS
S00233,L0011,T02,233,100.027264,-0.020667,99.01421,113.944645,-0.489516,0.297732,51.78072,2.034588,4.636085,0.074881,PASS
S00639,L0031,T02,639,104.294303,-0.182988,96.249904,112.261201,-0.525795,-0.646522,53.612628,5.712771,2.63318,0.424273,FAIL
S00225,L0011,T02,225,100.603807,0.072027,101.583051,106.994725,0.562561,0.534047,50.345742,7.513996,3.01081,0.075303,PASS
S00586,L0029,T01,586,107.628102,-0.022775,95.512801,,-0.707409,0.320814,52.535954,2.614669,3.287526,0.061016,PASS
S00670,L0033,T01,670,94.308146,0.021997,94.818435,110.218237,0.918783,-0.913988,51.305979,3.114299,1.732432,0.041515,PASS
S00377,L0018,T01,377,102.002368,0.028838,,107.679656,-0.344125,-0.789908,52.270339,2.839178,2.338494,0.045064,PASS
S00716,L0035,T01,716,100.352462,-0.012658,91.095844,110.494307,-0.064831,0.831088,51.547173,2.35887,0.913207,0.013792,PASS
S00058,L0002,T02,58,95.088919,0.070123,101.47176,107.721395,0.139677,0.255372,49.46521,3.138908,2.31827,0.057599,PASS
S00628,L0031,T02,628,106.243286,-0.214451,100.268867,110.520931,0.620174,-0.984707,54.598659,6.306485,1.419654,0.392133,FAIL
S00147,L0007,T03,147,107.618616,-0.072892,97.828246,108.50777,0.801317,-0.807794,54.731723,3.856421,1.98061,0.088275,FAIL
S00387,L0019,T03,387,101.974,0.012371,94.860222,105.859812,0.655095,-0.843384,54.048959,2.709561,4.646755,0.130032,FAIL
S00211,L0010,T01,211,103.943888,0.078165,102.859172,110.244437,0.092851,-0.775626,50.762812,3.293001,1.296294,0.038481,FAIL
S00477,L0023,T02,477,92.194358,-0.090866,95.163101,112.057065,-0.266216,-0.264135,49.30483,3.484692,2.17303,0.071517,FAIL
S00685,L0034,T03,685,99.575343,-0.032926,93.360135,107.364202,-0.481258,0.456759,50.838707,2.514033,2.489202,0.036852,PASS
S00106,L0005,T01,106,106.564293,0.044883,96.501605,113.818619,-0.934734,-0.398495,53.361291,3.267256,4.35091,0.173436,FAIL
S00271,L0013,T01,271,100.144575,,92.890194,110.065082,0.702475,0.481437,52.656704,3.125075,1.157828,0.0309,PASS
S00269,L0013,T01,269,98.587354,0.065833,94.509114,113.581683,0.835736,-0.615723,51.136741,3.471217,3.83633,0.159638,FAIL
S00217,L0010,T01,217,104.773052,-0.098729,95.234567,108.010443,-0.861921,-0.212813,51.952164,3.807995,2.174049,0.093462,FAIL
S00668,L0033,T01,668,89.10758,0.043228,102.791656,106.195735,-0.554833,0.012708,44.060598,1.835177,4.439339,0.057232,FAIL
S00134,L0006,T01,134,106.323021,-0.031718,93.03086,111.886318,-0.024138,0.499551,51.573898,2.578702,2.403028,0.037237,PASS
S00496,L0024,T03,496,96.09366,-0.118726,96.095654,111.168328,-0.180159,0.893271,51.239313,4.799861,1.365642,0.138952,FAIL
S00129,L0006,T01,129,98.953771,-0.13872,92.14267,109.77223,-0.295171,0.167055,49.008318,4.107664,1.166207,0.071978,FAIL
S00219,L0010,T02,219,94.068234,-0.089659,92.680201,109.478231,0.729908,-0.440191,49.218453,3.895806,1.525976,0.072461,FAIL
S00037,L0001,T03,37,,-0.058997,100.175311,110.769993,-0.075754,-0.032212,49.063394,2.423548,1.636439,0.021589,PASS
S00248,L0012,T03,248,87.576657,0.064164,93.736959,108.784148,0.55989,-0.232495,47.958823,3.377767,2.072036,0.062071,FAIL
S00039,L0001,T01,39,105.064238,-0.03757,98.116909,110.831842,-0.908614,-0.923956,54.075627,3.195524,1.950511,0.049914,FAIL
S00425,L0021,T01,425,94.515932,-0.000718,102.792358,106.822289,-0.890983,-0.137535,46.842302,2.073254,3.576948,0.044713,FAIL
S00675,L0033,T02,675,100.045804,-0.009789,101.703214,111.68644,-0.12823,-0.738203,51.807327,2.239657,1.712045,0.019121,PASS
S00767,L0038,T02,767,101.752514,0.035405,89.039185,107.6604,0.55797,0.944148,54.665192,3.582634,2.156084,0.076932,FAIL
S00254,L0012,T01,254,98.881846,0.044396,86.777018,109.349856,0.409949,-0.037847,49.721362,2.408808,1.157623,0.016457,PASS
S00489,L0024,T02,489,110.108474,-0.012978,88.358738,110.010126,0.71853,0.318141,55.385571,2.292199,1.494165,0.017806,FAIL
S00209,L0010,T01,209,106.970567,0.107514,95.326676,107.370711,0.311667,-0.777476,52.51027,3.883648,2.483968,0.115727,FAIL
S00370,L0018,T03,370,107.288616,-0.00043,95.861653,111.023053,-0.381252,-0.506429,51.99238,1.938115,1.840466,0.015697,PASS
S00557,L0027,T03,557,90.550571,0.090336,99.958545,109.060402,0.712863,0.005911,47.662606,3.835129,1.591051,0.071206,FAIL
S00424,L0021,T03,424,102.647368,0.118406,95.574612,,-0.514252,0.886685,53.309774,4.491666,1.82109,0.135767,FAIL
S00086,L0004,T02,86,92.650865,-0.031138,94.345001,110.760247,-0.426707,0.289642,47.421841,2.27594,1.286181,0.015685,PASS
S00449,L0022,T01,449,94.261594,-0.005426,88.321155,110.514482,-0.221819,,49.629448,1.969706,1.74494,0.015329,PASS
S00504,L0025,T01,504,102.211529,0.239993,95.47321,109.442224,-0.148381,-0.209044,49.884879,5.97296,1.33605,0.313349,FAIL
S00475,L0023,T01,475,100.282329,0.073253,90.587365,113.547734,-0.145023,-0.399148,48.084477,3.057274,3.637216,0.104989,PASS
S00075,L0003,T01,75,94.089544,0.120826,98.817241,109.349708,-0.847305,-0.962194,49.392361,5.251627,1.601834,0.216272,FAIL
S00024,L0001,T01,24,105.930056,0.103944,86.233969,107.898362,-0.220598,0.058819,53.294813,3.278377,2.390696,0.067259,FAIL
S00378,L0018,T01,378,92.843565,0.037862,97.469587,108.906802,-0.202604,-0.465942,47.962335,2.385103,1.540744,0.019821,PASS
S00031,L0001,T01,31,101.117422,-0.029272,92.034489,115.47061,0.812524,-0.983645,52.784887,2.923777,7.078031,0.408376,FAIL
S00669,L0033,T01,669,98.246012,0.0648,93.763994,109.847101,0.208178,-0.991762,49.829663,3.515767,1.491722,0.051644,FAIL
S00372,L0018,T02,372,93.385571,-0.053512,97.313237,110.065328,-0.641822,-0.395011,49.554541,2.885347,1.311599,0.027204,PASS
S00272,L0013,T01,272,107.415039,0.064131,93.392368,111.789676,0.203323,-0.141428,50.63823,2.917226,1.873474,0.037721,PASS
S00688,L0034,T01,688,98.369185,-0.025686,98.488236,106.926636,-0.30599,,48.184018,2.161339,3.488754,0.046046,PASS
S00450,L0022,T03,450,96.808528,0.007496,90.486578,108.612439,-0.097221,0.05107,49.901524,1.250397,1.27682,0.006259,PASS
S00065,L0003,T01,65,100.835403,-0.045003,99.11983,111.212015,-0.916561,-0.67093,50.511782,3.437252,1.739816,0.054962,FAIL
S00492,L0024,T01,492,95.653684,0.008567,99.554447,113.448369,-0.797193,-0.454617,49.263588,2.060152,3.602911,0.044819,PASS
S00175,L0008,T01,175,105.233729,0.103783,99.337615,110.127591,0.785911,-0.792694,54.987073,4.913342,1.091156,0.133212,FAIL
S00631,L0031,T01,631,113.242257,,97.146954,110.570054,-0.802453,-0.788404,55.426846,3.21044,1.853317,0.04805,FAIL
